"FECcommittee","icpsr","first","last","fullname","state","chamber","district","party","start","end","twitter","twitter_lower","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","female","Official","c111th","c112th","c113th","c114th","c115th","c116th","c117th","user_id","screen_name","name"
"C00441352",21163,"steve","stivers","stevestivers","OH","House","15","R","1/5/2011","1/3/2019","repstevestivers","repstevestivers",6,2748,0,1,NA,NA,1,NA,NA,NA,0,1,0,1,1,1,1,1,1,"211420609","RepSteveStivers","Archive: Steve Stivers"
"C00441352",21163,"steve","stivers","stevestivers","OH","House","15","R","1/5/2011","1/3/2019","stevestivers","stevestivers",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,1,1,1,"59536644","stevestivers","Steve Stivers"
"C00518241",29570,"steve","stockman","stevestockman","TX","House","36","R","1/4/1995","1/3/2015","steveworks4you","steveworks4you",1,15755,0,0,6757,0.429,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,"1059240924","SteveWorks4You","Steve Stockman"
"C00518241",29570,"steve","stockman","stevestockman","TX","House","36","R","1/4/1995","1/3/2015","StockmanSenate","stockmansenate",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,"509726800","StockmanSenate","Rep. Steve Stockman"
"C00629451",41704,"luther","strange","lutherstrange","AL","Senate",NA,"R","2/9/2017","1/3/2021","senatorstrange","senatorstrange",3,126,0,0,72,0.571,1,NA,NA,NA,0,1,0,0,0,0,1,0,0,"829794295355940866","SenatorStrange","Sen Luther Strange"
"C00629451",41704,"luther","strange","lutherstrange","AL","Senate",NA,"R","2/9/2017","1/3/2021","lutherstrange","lutherstrange",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,0,0,"15141113","lutherstrange","Luther Strange"
"C00484683",21100,"marlin","stutzman","marlinstutzman","IN","House","3","R","11/16/2010","1/3/2017","repstutzman","repstutzman",2,1083,0,0,963,0.889,1,NA,NA,NA,0,1,1,1,1,1,0,0,0,"211901075","RepStutzman","Rep. Marlin Stutzman"
"C00484683",21100,"marlin","stutzman","marlinstutzman","IN","House","3","R","11/16/2010","1/3/2017","MarlinStutzman","marlinstutzman",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,0,0,0,NA,NA,NA
"C00484683",21100,"marlin","stutzman","marlinstutzman","IN","House","3","R","11/16/2010","1/3/2017","GoMarlin","gomarlin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,0,0,0,"38431540","GoMarlin","Marlin Stutzman"
"C00570994",41500,"dan","sullivan","dansullivan","AK","Senate","","R","1/6/2015","1/3/2021","sendansullivan","sendansullivan",2,1506,0,1,NA,NA,0,NA,NA,NA,0,1,0,0,0,1,1,1,1,"2891210047","SenDanSullivan","Sen. Dan Sullivan"
"C00366773",20131,"john","sullivan","johnsullivan","OK","House","1","R","2/27/2002","1/3/2013","usrepsullivan","usrepsullivan",4,622,0,0,433,0.696,1,NA,NA,NA,0,1,1,1,0,0,0,0,0,"21329888","USRepSullivan","US Rep John Sullivan"
"C00366773",20131,"john","sullivan","johnsullivan","OK","House","1","R","2/27/2002","1/3/2013","TEAMSullivan","teamsullivan",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,0,0,0,0,0,"91179070","TEAMSullivan","John Sullivan"
"C00370031",29740,"john","sununu","johnsununu","NH","Senate",NA,"R","1/7/1997","1/3/2009","johnsununu","johnsununu",5,68,1,0,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,"23310548","JohnSununu","John E. Sununu"
"C00370031",29740,"john","sununu","johnsununu","NH","Senate",NA,"R","1/7/1997","1/3/2009","GovernorSununu","governorsununu",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,"757587319","GovernorSununu","John H Sununu"
"C00607200",21747,"thomas","suozzi","thomassuozzi","NY","House","3","D","1/3/2017","1/3/2019","reptomsuozzi","reptomsuozzi",5,113,1,1,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,1,1,1,"816705409486618624","RepTomSuozzi","Tom Suozzi"
"C00607200",21747,"thomas","suozzi","thomassuozzi","NY","House","3","D","1/3/2017","1/3/2019","Tom_Suozzi","tom_suozzi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,1,1,"18907639","Tom_Suozzi","Tom Suozzi"
"C00417816",20740,"betty","sutton","bettysutton","OH","House","13","D","1/4/2007","1/3/2013","bettysutton","bettysutton",2,290,0,0,240,0.828,0,NA,NA,NA,1,0,1,1,0,0,0,0,0,"136042190","BettySutton","Betty Sutton"
"C00502294",21306,"eric","swalwell","ericswalwell","CA","House","15","D","1/3/2013","1/3/2019","repswalwell","repswalwell",0,8064,1,1,NA,NA,1,NA,NA,NA,0,1,0,0,1,1,1,1,1,"942156122","RepSwalwell","Rep. Eric Swalwell"
"C00502294",21306,"eric","swalwell","ericswalwell","CA","House","15","D","1/3/2013","1/3/2019","ericswalwell","ericswalwell",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,1,1,1,1,"377609596","ericswalwell","Eric Swalwell"
"C00548131",21517,"mark","takai","marktakai","HI","House","1","D","1/6/2015","7/20/2016","marktakai","marktakai",1,697,0,0,3,0.004,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,"562893156","MarkTakai","Mark Takai"
"C00498667",21312,"mark","takano","marktakano","CA","House","41","D","1/3/2013","1/3/2019","repmarktakano","repmarktakano",2,1929,0,1,NA,NA,1,NA,NA,NA,0,1,0,0,1,1,1,1,1,"1037321378","RepMarkTakano","Mark Takano"
"C00498667",21312,"mark","takano","marktakano","CA","House","41","D","1/3/2013","1/3/2019","MarkTakano","marktakano",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,1,1,1,1,"316165422","MarkTakano","Mark Takano"
"C00608703",21748,"scott","taylor","scotttaylor","VA","House","2","R","1/3/2017","1/3/2019","scotttaylorva","scotttaylorva",0,5560,0,1,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,0,0,"42337890","Scotttaylorva","Scott Taylor"
"C00608703",21748,"scott","taylor","scotttaylor","VA","House","3","R","","","RepScottTaylor","repscotttaylor",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,1,0,0,NA,NA,NA
"C00653634",21973,"van","taylor","vantaylor","TX","House","3","R","","","VanTaylorTX","vantaylortx",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,1,"21826591","VanTaylorTX","Van Taylor"
"C00653634",21973,"van","taylor","vantaylor","TX","House","3","R","","","RepVanTaylor","repvantaylor",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,0,1,1,"1075040139351597056","RepVanTaylor","Rep Van Taylor"
"C00632828",21749,"claudia","tenney","claudiatenney","NY","House","22","R","1/3/2017","1/3/2019","reptenney","reptenney",3,271,0,1,NA,NA,1,NA,NA,NA,1,1,0,0,0,0,1,0,1,"797201048490430465","RepTenney","Rep. Claudia Tenney"
"C00632828",21749,"claudia","tenney","claudiatenney","NY","House","22","R","1/3/2017","1/3/2019","claudiatenney","claudiatenney",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,1,0,1,"756285384","claudiatenney","Claudia Tenney"
"C00330811",29921,"lee","terry","leeterry","NE","House","2","R","1/6/1999","1/3/2015","leeterryne","leeterryne",4,4093,0,1,NA,NA,0,NA,NA,NA,0,0,1,1,1,0,0,0,0,"18317325","LEETERRYNE","Lee Terry"
"C00412304",40702,"jon","tester","jontester","MT","Senate",NA,"D","1/4/2007","1/3/2019","senatortester","senatortester",4,2937,0,1,NA,NA,1,NA,NA,NA,0,1,1,1,1,1,1,1,1,"515822213","SenatorTester","Senator Jon Tester"
"C00412304",40702,"jon","tester","jontester","MT","Senate",NA,"D","1/4/2007","1/3/2019","jontester","jontester",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,1,"16473577","jontester","Jon Tester"
"C00279851",29368,"bennie","thompson","benniethompson","MS","House","2","D","","","BGThompsonMS","bgthompsonms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,"1298346252673994752","BGThompsonMS","Bennie G. Thompson"
"C00279851",29368,"bennie","thompson","benniethompson","MS","House","2","D","4/13/1993","1/3/2019","benniegthompson","benniegthompson",7,751,0,1,NA,NA,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,"82453460","BennieGThompson","Bennie G. Thompson"
"C00444620",20946,"glenn","thompson","glennthompson","PA","House","5","R","1/6/2009","1/3/2019","congressmangt","congressmangt",5,5700,0,1,NA,NA,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,"18967498","CongressmanGT","Glenn ""GT"" Thompson"
"C00326363",29901,"mike","thompson","mikethompson","CA","House","5","D","","","Mike_CA05","mike_ca05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,"3612420317","Mike_CA05","Mike Thompson"
"C00326363",29901,"mike","thompson","mikethompson","CA","House","5","D","1/6/1999","1/3/2019","repthompson","repthompson",1,2541,0,0,2137,0.841,0,NA,NA,NA,0,1,1,1,1,1,1,1,1,"303861808","RepThompson","Rep. Mike Thompson"
"C00286187",29572,"mac","thornberry","macthornberry","TX","House","13","R","1/4/1995","1/3/2019","mactxpress","mactxpress",3,975,1,1,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,0,"377534571","MacTXPress","Mac Thornberry Press"
"C00286187",29572,"mac","thornberry","macthornberry","TX","House","13","R","1/4/1995","1/3/2019","MacThornberry","macthornberry",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,0,"1137590713","MacThornberry","Mac Thornberry"
"C00409581",29754,"john","thune","johnthune","SD","Senate",NA,"R","1/7/1997","1/3/2023","senjohnthune","senjohnthune",6,3751,0,1,NA,NA,1,NA,NA,NA,0,1,1,1,1,1,1,1,1,"296361085","SenJohnThune","Senator John Thune"
"C00409581",29754,"john","thune","johnthune","SD","Senate",NA,"R","1/7/1997","1/3/2023","johnthune","johnthune",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,1,"26533227","johnthune","John Thune"
